Product ID,Product Name,Current Factory,Current_Predicted_Lead_Time,Recommended_Predicted_Lead_Time,Lead_Time_Reduction,Lead_Time_Reduction_Pct,Recommended Factory,Recommendation
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Lot's O' Nuts,1501.2885720938452,1493.698470935853,7.590101157992129,0.4954768182359503,Wicked Choccy's,Reassign
CHO-MIL-31000,Wonka Bar - Milk Chocolate,Wicked Choccy's,1501.4754848512055,1492.5765412910891,8.898943560116358,0.5754846022340884,Lot's O' Nuts,Reassign
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,1451.2508959153024,1445.8829542115225,5.36794170377984,0.3655471760763128,Lot's O' Nuts,Keep Current Factory
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,1486.5322416272327,1479.6085213782696,6.923720248962926,0.45556287224357495,Lot's O' Nuts,Keep Current Factory
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,1485.988902319902,1478.8708455338806,7.118056786021896,0.46885241913023845,Wicked Choccy's,Keep Current Factory
OTH-FIZ-56000,Fizzy Lifting Drinks,Sugar Shack,1546.2289814814815,1545.0049074074075,1.2240740740740723,0.07937965403878572,Wicked Choccy's,Keep Current Factory
OTH-GUM-21000,Wonka Gum,Secret Factory,1487.3244279661017,1482.0418672316384,5.282560734463284,0.34024827062832,Lot's O' Nuts,Reassign
OTH-KAZ-38000,Kazookles,The Other Factory,1502.2020070921985,1499.897729314421,2.3042777777777737,0.15396848219479922,Lot's O' Nuts,Reassign
OTH-LIC-15000,Lickable Wallpaper,Secret Factory,1495.085925120773,1489.6949263285026,5.390998792270517,0.3475606412249831,Wicked Choccy's,Reassign
SUG-EVE-47000,Everlasting Gobstopper,Secret Factory,1501.0714629629629,1498.9566481481481,2.114814814814887,0.1355967429002395,Secret Factory,Keep Current Factory
SUG-FUN-75000,Fun Dip,Sugar Shack,1459.2205555555556,1457.7794444444444,1.4411111111110888,0.08979945671564415,Lot's O' Nuts,Keep Current Factory
SUG-HAI-55000,Hair Toffee,The Other Factory,1497.5876805555554,1496.9060138888888,0.681666666666672,0.04603919810040346,Wicked Choccy's,Keep Current Factory
SUG-LAF-25000,Laffy Taffy,Sugar Shack,1603.7824333333333,1599.9038777777778,3.8785555555556357,0.2377170905894001,Lot's O' Nuts,Reassign
SUG-NER-92000,Nerds,Sugar Shack,1435.3105555555555,1432.2618055555556,3.048749999999984,0.209204598475431,Lot's O' Nuts,Reassign
SUG-SWE-91000,SweeTARTS,Sugar Shack,1603.9465777777777,1594.5605222222223,9.386055555555572,0.5829286188166208,Wicked Choccy's,Reassign
