Order ID,Row ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead_Time,Profit Margin,Cost Percentage,Unit Price,Recommended Factory,Factory_Latitude,Factory_Longitude,Order Year,Order Month,Order Quarter,Order Day of Week,Current Factory,Recommended Predicted Lead_Time,Current Predicted Lead_Time,Lead_Time Reduction,Lead_Time Reduction (%),Recommendation
CA-2021-100867-CHO-FUD-51000,1380,,16-04-2027,Standard Class,100867,Canada,Vancouver,British Columbia,V6G,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,,0.6666666666666666,0.3333333333333333,3.6,The Other Factory,32.881893,-111.768036,,,,,Lot's O' Nuts,1555.3426666666667,1556.8226666666667,1.4800000000000182,0.09506541956823288,Keep Current Factory
CA-2021-107153-CHO-FUD-51000,1241,,26-03-2027,Standard Class,107153,Canada,Montreal,Quebec,H1A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,,0.6666666666666666,0.3333333333333333,3.6,Lot's O' Nuts,32.881893,-111.768036,,,,,Lot's O' Nuts,1620.5038095238097,1620.5038095238097,0.0,0.0,Keep Current Factory
CA-2021-115238-CHO-FUD-51000,65,,17-07-2026,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,,0.6666666666666666,0.3333333333333333,3.6,Lot's O' Nuts,32.881893,-111.768036,,,,,Lot's O' Nuts,1597.7855555555554,1659.6233333333332,61.837777777777774,3.7260127967457137,Keep Current Factory
CA-2021-115238-CHO-MIL-31000,66,,17-07-2026,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,,0.6492307692307693,0.3507692307692308,3.25,Wicked Choccy's,32.076176,-81.088371,,,,,Wicked Choccy's,1510.37,1686.05,175.68000000000006,10.419619821476235,Keep Current Factory
CA-2021-115238-CHO-TRI-54000,64,,17-07-2026,Standard Class,115238,Canada,Toronto,Ontario,M7A,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,,0.6533333333333333,0.3466666666666667,3.75,Wicked Choccy's,32.076176,-81.088371,,,,,Wicked Choccy's,1632.2736666666665,1632.2736666666665,0.0,0.0,Keep Current Factory
CA-2021-115777-CHO-NUT-13000,937,,14-02-2027,Standard Class,115777,Canada,Montreal,Quebec,H1B,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,,0.7134670487106017,0.28653295128939826,3.49,Lot's O' Nuts,32.881893,-111.768036,,,,,Lot's O' Nuts,1572.6596666666667,1572.6596666666667,0.0,0.0,Keep Current Factory
CA-2021-117964-CHO-NUT-13000,1783,2024-12-02,29-05-2027,Standard Class,117964,Canada,Moncton,New Brunswick,E1A,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,24.43,7,17.43,7.0,1202.0,0.7134670487106017,0.28653295128939826,3.4899999999999998,Sugar Shack,32.881893,-111.768036,2024.0,12.0,4.0,0.0,Lot's O' Nuts,1379.2705555555556,1379.5138888888887,0.24333333333311202,0.01763906367982287,Keep Current Factory
CA-2021-117964-CHO-TRI-54000,1782,2024-12-02,29-05-2027,Standard Class,117964,Canada,Moncton,New Brunswick,E1A,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,1202.0,0.6533333333333333,0.3466666666666667,3.75,Lot's O' Nuts,32.076176,-81.088371,2024.0,12.0,4.0,0.0,Wicked Choccy's,1372.0233333333333,1375.2875000000001,3.2641666666668243,0.23734431285580823,Reassign
CA-2021-119508-CHO-FUD-51000,1788,2024-12-04,01-06-2027,Standard Class,119508,Canada,Vancouver,British Columbia,V6B,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,1145.0,0.6666666666666666,0.3333333333333333,3.6,Lot's O' Nuts,32.881893,-111.768036,2024.0,12.0,4.0,2.0,Lot's O' Nuts,1243.67,1243.67,0.0,0.0,Keep Current Factory
CA-2021-119508-CHO-NUT-13000,1787,2024-12-04,01-06-2027,Standard Class,119508,Canada,Vancouver,British Columbia,V6B,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,1145.0,0.7134670487106016,0.28653295128939826,3.49,Lot's O' Nuts,32.881893,-111.768036,2024.0,12.0,4.0,2.0,Lot's O' Nuts,1218.62,1218.62,0.0,0.0,Keep Current Factory
CA-2021-123625-CHO-MIL-31000,2023,,25-06-2027,Standard Class,123625,Canada,Quebec City,Quebec,G1B,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,,0.6492307692307693,0.3507692307692308,3.25,Wicked Choccy's,32.076176,-81.088371,,,,,Wicked Choccy's,1497.9733333333334,1595.7266666666667,97.75333333333333,6.125944710664733,Keep Current Factory
CA-2021-123664-CHO-MIL-31000,1781,2024-12-02,29-05-2027,Standard Class,123664,Canada,Halifax,Nova Scotia,B3H,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,1202.0,0.6492307692307693,0.3507692307692308,3.25,Lot's O' Nuts,32.076176,-81.088371,2024.0,12.0,4.0,0.0,Wicked Choccy's,1442.265555555556,1442.6666666666667,0.4011111111108221,0.027803450400472877,Keep Current Factory
CA-2021-125388-CHO-SCR-58000,1379,,15-04-2027,Standard Class,125388,Canada,Montreal,Quebec,H1A,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,,0.6944444444444444,0.3055555555555556,3.6,Lot's O' Nuts,32.881893,-111.768036,,,,,Lot's O' Nuts,1555.9755555555557,1555.9755555555557,0.0,0.0,Keep Current Factory
CA-2021-125388-OTH-LIC-15000,1378,,15-04-2027,Standard Class,125388,Canada,Montreal,Quebec,H1A,Other,Atlantic,OTH-LIC-15000,Lickable Wallpaper,60.0,3,30.0,30.0,,0.5,0.5,20.0,Wicked Choccy's,41.446333,-90.565487,,,,,Secret Factory,1490.2794444444444,1493.5494444444444,3.269999999999982,0.2189415296670224,Reassign
CA-2021-126438-CHO-TRI-54000,1084,2024-09-10,06-03-2027,First Class,126438,Canada,Montreal,Quebec,H1C,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,878.0,0.6533333333333334,0.3466666666666667,3.75,Wicked Choccy's,32.076176,-81.088371,2024.0,9.0,3.0,1.0,Wicked Choccy's,1030.7566666666667,1030.7566666666667,0.0,0.0,Keep Current Factory
CA-2021-126634-CHO-FUD-51000,1933,,14-06-2027,Second Class,126634,Canada,Vancouver,British Columbia,V5K,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,,0.6666666666666666,0.3333333333333333,3.6,Wicked Choccy's,32.881893,-111.768036,,,,,Lot's O' Nuts,1708.278888888889,1713.107777777778,4.828888888888969,0.2818788725104583,Reassign
CA-2021-129322-CHO-FUD-51000,887,2024-08-08,31-01-2027,Second Class,129322,Canada,Toronto,Ontario,M5H,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,906.0,0.6666666666666666,0.3333333333333333,3.6,Lot's O' Nuts,32.881893,-111.768036,2024.0,8.0,3.0,3.0,Lot's O' Nuts,1091.1721825396824,1091.1721825396824,0.0,0.0,Keep Current Factory
CA-2021-129322-CHO-SCR-58000,888,2024-08-08,31-01-2027,Second Class,129322,Canada,Toronto,Ontario,M5H,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,906.0,0.6944444444444444,0.3055555555555556,3.6,Lot's O' Nuts,32.881893,-111.768036,2024.0,8.0,3.0,3.0,Lot's O' Nuts,1002.3313888888888,1002.3313888888888,0.0,0.0,Keep Current Factory
CA-2021-129322-CHO-TRI-54000,889,2024-08-08,31-01-2027,Second Class,129322,Canada,Toronto,Ontario,M5H,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,906.0,0.6533333333333333,0.3466666666666667,3.75,Sugar Shack,32.076176,-81.088371,2024.0,8.0,3.0,3.0,Wicked Choccy's,957.7777777777779,960.5044444444446,2.726666666666688,0.28387861008220433,Reassign
